STATION,NAME,DATE,T
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",8/25/23,20.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",8/26/23,19.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",8/27/23,16.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",8/28/23,15.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",8/29/23,16.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",8/30/23,14.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",8/31/23,14.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/1/23,15.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/2/23,17.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/3/23,22.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/4/23,25
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/5/23,24.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/6/23,21.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/7/23,20
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/8/23,17.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/9/23,17.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/10/23,16.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/11/23,15
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/12/23,15.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/13/23,13.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/14/23,12.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/15/23,12.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/16/23,12.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/17/23,16.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/18/23,14.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/19/23,13.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/20/23,18.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/21/23,18.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/22/23,17.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/23/23,15
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/24/23,16.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/25/23,18.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/26/23,18.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/27/23,15.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/28/23,16.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/29/23,15.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",9/30/23,17.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/1/23,17.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/2/23,18.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/3/23,19.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/4/23,19.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/5/23,17.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/6/23,13.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/7/23,9.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/8/23,7.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/9/23,6.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/10/23,6.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/11/23,10.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/12/23,11.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/13/23,10.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/14/23,9.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/15/23,8.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/16/23,10.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/17/23,6.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/18/23,8.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/19/23,8.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/20/23,11.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/21/23,7.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/22/23,3.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/23/23,5.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/24/23,15.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/25/23,16.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/26/23,18.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/27/23,20.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/28/23,12.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/29/23,6.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/30/23,0.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",10/31/23,-1.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",11/1/23,0.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",11/2/23,3.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",11/3/23,7.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",11/4/23,6.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",11/5/23,5.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",11/6/23,9.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",11/7/23,6.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",11/8/23,5.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",11/9/23,6.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",11/10/23,4.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",11/11/23,3.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",11/12/23,2.8
